_Eihop,_P0,hops,d,_R,_Nb
0.248,0.68,1,135,250,90
0.226,0.64,1,135,250,90
0.198,0.61,1,135,250,90
0.86,0.39,1,135,250,90
0.86,0.43,1,135,250,90
0.10,0.14,2,67,250,90
0.302,0.75,1,135,250,90
0.25,0.21,1,135,250,90
0.176,0.57,2,67,250,90
0.147,0.54,1,135,250,90
0.07,0.14,1,135,250,90
0.10,0.14,1,135,250,90
0.28,0.21,1,135,250,90
0.46,0.28,1,135,250,90
0.14,0.18,1,135,250,90
0.82,0.39,1,135,250,90
0.18,0.18,1,135,250,90
0.262,0.72,1,135,250,90
0.172,0.57,1,135,250,90
0.68,0.36,1,135,250,90
0.21,0.21,1,135,250,90
0.313,0.75,1,135,250,90
0.14,0.18,1,135,250,90
0.68,0.36,1,135,250,90
0.28,0.21,1,135,250,90
0.248,0.68,2,67,250,90
0.172,0.57,1,135,250,90
0.07,0.10,1,135,250,90
0.32,0.25,2,67,250,90
0.07,0.14,2,67,250,90
0.28,0.21,1,135,250,90
0.126,0.46,2,67,250,90
0.100,0.43,1,135,250,90
0.183,0.57,2,67,250,90
0.342,0.79,1,135,250,90
0.201,0.61,1,135,250,90
0.442,0.90,1,135,250,90
0.453,0.93,1,135,250,90
0.86,0.39,1,135,250,90
0.244,0.68,1,135,250,90
0.154,0.54,1,135,250,90
0.14,0.18,1,135,250,90
0.223,0.64,1,135,250,90
0.14,0.18,1,135,250,90
0.93,0.43,1,135,250,90
0.201,0.61,1,135,250,90
0.406,0.86,1,135,250,90
0.288,0.72,1,135,250,90
0.183,0.57,1,135,250,90
0.280,0.72,1,135,250,90
0.100,0.43,2,67,250,90
0.338,0.79,2,67,250,90
0.223,0.64,1,135,250,90
0.64,0.36,1,135,250,90
0.25,0.21,1,135,250,90
0.10,0.14,1,135,250,90
0.226,0.64,2,67,250,90
0.86,0.39,2,67,250,90
0.392,0.86,2,67,250,90
0.349,0.82,1,135,250,90
0.14,0.18,1,135,250,90
0.10,0.14,1,135,250,90
0.302,0.75,1,135,250,90
0.169,0.54,2,67,250,90
0.414,0.86,1,135,250,90
0.205,0.61,2,67,250,90
0.248,0.68,1,135,250,90
0.417,0.86,2,67,250,90
0.345,0.79,1,135,250,90
0.10,0.14,1,135,250,90
0.180,0.57,1,135,250,90
0.82,0.39,1,135,250,90
0.165,0.54,1,135,250,90
0.07,0.10,1,135,250,90
0.280,0.72,1,135,250,90
0.223,0.64,1,135,250,90
0.36,0.25,2,67,250,90
0.291,0.75,1,135,250,90
0.32,0.25,1,135,250,90
0.424,0.90,1,135,250,90
0.194,0.61,1,135,250,90
0.43,0.28,1,135,250,90
0.93,0.39,1,135,250,90
0.32,0.25,1,135,250,90
0.118,0.46,1,135,250,90
0.457,0.93,1,135,250,90
0.07,0.10,1,135,250,90
0.46,0.28,1,135,250,90
0.349,0.79,1,135,250,90
0.259,0.68,1,135,250,90
0.334,0.79,1,135,250,90
0.205,0.61,1,135,250,90
0.198,0.61,1,135,250,90
0.399,0.86,1,135,250,90
0.464,0.93,1,135,250,90
0.396,0.86,1,135,250,90
0.187,0.57,1,135,250,90
0.115,0.46,1,135,250,90
0.28,0.21,1,135,250,90
0.295,0.72,2,67,250,90
0.241,0.68,1,135,250,90
0.100,0.43,2,67,250,90
0.208,0.61,2,67,250,90
0.46,0.28,1,135,250,90
0.03,0.10,1,135,250,90
0.25,0.21,1,135,250,90
0.464,0.93,2,67,250,90
0.158,0.54,1,135,250,90
0.169,0.54,1,135,250,90
0.25,0.21,2,67,250,90
0.144,0.50,1,135,250,90
0.07,0.14,1,135,250,90
0.25,0.21,1,135,250,90
0.154,0.54,1,135,250,90
0.108,0.43,2,67,250,90
0.118,0.46,1,135,250,90
0.136,0.50,1,135,250,90
0.180,0.57,1,135,250,90
0.360,0.82,1,135,250,90
0.10,0.14,1,135,250,90
0.162,0.54,1,135,250,90
0.223,0.64,1,135,250,90
0.64,0.36,1,135,250,90
0.349,0.79,1,135,250,90
0.115,0.46,1,135,250,90
0.39,0.25,1,135,250,90
0.32,0.25,1,135,250,90
0.252,0.68,1,135,250,90
0.72,0.36,1,135,250,90
0.100,0.43,1,135,250,90
0.424,0.90,1,135,250,90
